feature_ID	gene_name	FC_Syn_vs_H_at_ZT0	FC_Syn_vs_H_at_ZT12	synaptic_enriched_3104	in_Cajigas_et_al 	in_Ouwenga_et_al 
ENSMUSG00000027086	Fastkd1	NaN	NaN		+	+
ENSMUSG00000025962	Fastkd2	NaN	NaN		+	+
ENSMUSG00000021532	Fastkd3	NaN	NaN		+	+
ENSMUSG00000070047	Fat1	2.183391	2.152499	+	+	+
ENSMUSG00000074505	Fat3	NaN	NaN		+	+
ENSMUSG00000046743	Fat4	NaN	NaN		+	+
ENSMUSG00000038274	Fau	1.228728	1.560549	+	+	+
ENSMUSG00000020776	Fbf1	NaN	NaN		+	+
ENSMUSG00000046865	Fbl	NaN	NaN		+	
ENSMUSG00000051062	Fbll1	NaN	NaN		+	+
ENSMUSG00000006369	Fbln1	2.30265	1.80928	+	+	+
ENSMUSG00000064080	Fbln2	NaN	NaN		+	+
ENSMUSG00000021186	Fbln5	NaN	NaN		+	+
ENSMUSG00000027386	Fbln7	NaN	NaN		+	+
ENSMUSG00000027204	Fbn1	NaN	NaN		+	+
ENSMUSG00000042423	Fbrs	NaN	NaN		+	+
ENSMUSG00000043323	Fbrsl1	NaN	NaN		+	+
ENSMUSG00000066892	Fbxl12	NaN	NaN		+	+
ENSMUSG00000030019	Fbxl14	NaN	NaN		+	+
ENSMUSG00000025226	Fbxl15	NaN	NaN		+	+
ENSMUSG00000025738	Fbxl16	1.564588	1.327386	+	+	+
ENSMUSG00000023965	Fbxl17	NaN	NaN		+	+
ENSMUSG00000030811	Fbxl19	NaN	NaN		+	+
ENSMUSG00000032507	Fbxl2	NaN	NaN		+	+
ENSMUSG00000020883	Fbxl20	NaN	NaN		+	+
ENSMUSG00000022124	Fbxl3	NaN	NaN		+	+
ENSMUSG00000040410	Fbxl4	1.553755	1.182399	+	+	+
ENSMUSG00000039753	Fbxl5	NaN	NaN		+	+
ENSMUSG00000022559	Fbxl6	NaN	NaN		+	+
ENSMUSG00000048232	Fbxo10	NaN	NaN		+	+
ENSMUSG00000005371	Fbxo11	NaN	NaN		+	+
ENSMUSG00000034532	Fbxo16	NaN	NaN		+	+
ENSMUSG00000058594	Fbxo18	NaN	NaN		+	+
ENSMUSG00000041556	Fbxo2	2.104354	1.756441	+	+	+
ENSMUSG00000032898	Fbxo21	NaN	NaN		+	+
ENSMUSG00000032309	Fbxo22	NaN	NaN		+	+
ENSMUSG00000038365	Fbxo25	NaN	NaN		+	+
ENSMUSG00000047539	Fbxo28	NaN	NaN		+	+
ENSMUSG00000027180	Fbxo3	NaN	NaN		+	+
ENSMUSG00000047648	Fbxo30	1.538458	1.582993	+	+	+
ENSMUSG00000052934	Fbxo31	NaN	NaN		+	+
ENSMUSG00000022358	Fbxo32	1.793904	2.051917	+	+	+
ENSMUSG00000035329	Fbxo33	NaN	NaN		+	+
ENSMUSG00000037536	Fbxo34	NaN	NaN		+	+
ENSMUSG00000042211	Fbxo38	NaN	NaN		+	+
ENSMUSG00000022184	Fbxo4	NaN	NaN		+	+
ENSMUSG00000028920	Fbxo42	NaN	NaN		+	+
ENSMUSG00000029001	Fbxo44	NaN	NaN		+	+
ENSMUSG00000050428	Fbxo46	NaN	NaN		+	+
ENSMUSG00000055401	Fbxo6	NaN	NaN		+	+
ENSMUSG00000001786	Fbxo7	NaN	NaN		+	+
ENSMUSG00000038206	Fbxo8	NaN	NaN		+	+
ENSMUSG00000001366	Fbxo9	NaN	NaN		+	+
ENSMUSG00000020271	Fbxw11	NaN	NaN		+	+
ENSMUSG00000037816	Fbxw17	NaN	NaN		+	+
ENSMUSG00000035949	Fbxw2	NaN	NaN		+	+
ENSMUSG00000040913	Fbxw4	NaN	NaN		+	+
ENSMUSG00000015095	Fbxw5	NaN	NaN		+	+
ENSMUSG00000032867	Fbxw8	NaN	NaN		+	+
ENSMUSG00000008167	Fbxw9	NaN	NaN		+	+
ENSMUSG00000058715	Fcer1g	3.473153	4.602488	+	+	+
ENSMUSG00000021243	Fcf1	NaN	NaN		+	+
ENSMUSG00000026656	Fcgr2b	NaN	NaN		+	+
ENSMUSG00000003420	Fcgrt	1.723812	1.289962	+	+	+
ENSMUSG00000070000	Fcho1	NaN	NaN		+	+
ENSMUSG00000041685	Fcho2	NaN	NaN		+	+
ENSMUSG00000038524	Fchsd1	NaN	NaN		+	+
ENSMUSG00000030691	Fchsd2	NaN	NaN		+	+
ENSMUSG00000015852	Fcrls	2.277464	4.158638	+	+	+
ENSMUSG00000021273	Fdft1	NaN	NaN		+	+
ENSMUSG00000059743	Fdps	NaN	NaN		+	+
ENSMUSG00000032051	Fdx1	NaN	NaN		+	+
ENSMUSG00000079677	Fdx1l	NaN	NaN		+	+
ENSMUSG00000037845	Fdxacb1	NaN	NaN		+	+
ENSMUSG00000018861	Fdxr	NaN	NaN		+	+
ENSMUSG00000024588	Fech	NaN	NaN		+	+
ENSMUSG00000043683	Fem1a	NaN	NaN		+	+
ENSMUSG00000032244	Fem1b	NaN	NaN		+	+
ENSMUSG00000033319	Fem1c	NaN	NaN		+	+
ENSMUSG00000024742	Fen1	NaN	NaN		+	+
ENSMUSG00000027356	Fermt1	NaN	NaN		+	+
ENSMUSG00000037712	Fermt2	2.279481	2.209685	+	+	+
ENSMUSG00000024965	Fermt3	1.72957	3.607886	+	+	+
ENSMUSG00000053158	Fes	NaN	NaN		+	+
ENSMUSG00000032118	Fez1	NaN	NaN		+	+
ENSMUSG00000056121	Fez2	1.672247	1.76031	+	+	+
ENSMUSG00000021743	Fezf2	NaN	NaN		+	+
ENSMUSG00000025265	Fgd1	NaN	NaN		+	+
ENSMUSG00000037946	Fgd3	1.442961	2.358934	+	+	+
ENSMUSG00000022788	Fgd4	NaN	NaN		+	+
ENSMUSG00000034037	Fgd5	NaN	NaN		+	+
ENSMUSG00000020021	Fgd6	2.796052	2.160532	+	+	+
ENSMUSG00000042826	Fgf11	NaN	NaN		+	+
ENSMUSG00000022523	Fgf12	NaN	NaN		+	+
ENSMUSG00000031137	Fgf13	NaN	NaN		+	+
ENSMUSG00000025551	Fgf14	NaN	NaN		+	+
ENSMUSG00000031230	Fgf16	NaN	NaN		+	
ENSMUSG00000037225	Fgf2	3.136371	2.81118	+	+	
ENSMUSG00000021974	Fgf9	NaN	NaN		+	+
ENSMUSG00000047632	Fgfbp3	NaN	NaN		+	+
ENSMUSG00000031565	Fgfr1	1.83127	1.579533	+	+	+
ENSMUSG00000040242	Fgfr1op2	NaN	NaN		+	+
ENSMUSG00000030849	Fgfr2	1.696832	1.601448	+	+	+
ENSMUSG00000054252	Fgfr3	2.69399	2.021376	+	+	+
ENSMUSG00000008090	Fgfrl1	2.789485	2.318703	+	+	+
ENSMUSG00000028573	Fggy	NaN	NaN		+	+
ENSMUSG00000039899	Fgl2	NaN	NaN		+	+
ENSMUSG00000026526	Fh1	NaN	NaN		+	+
ENSMUSG00000051435	Fhad1	NaN	NaN		+	+
ENSMUSG00000041842	Fhdc1	NaN	NaN		+	+
ENSMUSG00000060579	Fhit	NaN	NaN		+	+
ENSMUSG00000023092	Fhl1	NaN	NaN		+	+
ENSMUSG00000008136	Fhl2	NaN	NaN		+	+
ENSMUSG00000032643	Fhl3	NaN	NaN		+	
ENSMUSG00000014778	Fhod1	NaN	NaN		+	+
ENSMUSG00000026841	Fibcd1	1.505799	1.293222	+	+	+
ENSMUSG00000074971	Fibin	NaN	NaN		+	+
ENSMUSG00000024911	Fibp	NaN	NaN		+	+
ENSMUSG00000053334	Ficd	1.568855	1.39747	+	+	+
ENSMUSG00000038417	Fig4	1.367654	1.536224	+	+	+
ENSMUSG00000075324	Fign	NaN	NaN		+	+
ENSMUSG00000034898	Filip1	NaN	NaN		+	+
ENSMUSG00000043336	Filip1l	NaN	NaN		+	+
ENSMUSG00000029227	Fip1l1	NaN	NaN		+	+
ENSMUSG00000019054	Fis1	NaN	NaN		+	+
ENSMUSG00000048486	Fitm2	NaN	NaN		+	+
ENSMUSG00000061374	Fiz1	NaN	NaN		+	+
ENSMUSG00000075012	Fjx1	1.873102	1.651225	+	+	+
ENSMUSG00000001555	Fkbp10	1.951073	1.599456	+	+	+
ENSMUSG00000003355	Fkbp11	NaN	NaN		+	+
ENSMUSG00000038074	Fkbp14	NaN	NaN		+	+
ENSMUSG00000066151	Fkbp15	1.554385	1.622358	+	+	+
ENSMUSG00000032966	Fkbp1a	NaN	NaN		+	+
ENSMUSG00000020635	Fkbp1b	NaN	NaN		+	+
ENSMUSG00000056629	Fkbp2	NaN	NaN		+	+
ENSMUSG00000020949	Fkbp3	NaN	NaN		+	+
ENSMUSG00000030357	Fkbp4	NaN	NaN		+	+
ENSMUSG00000024222	Fkbp5	NaN	NaN		+	+
ENSMUSG00000002732	Fkbp7	NaN	NaN		+	+
ENSMUSG00000019428	Fkbp8	NaN	NaN		+	+
ENSMUSG00000029781	Fkbp9	2.316612	2.138684	+	+	+
ENSMUSG00000033739	Fkbpl	NaN	NaN		+	+
ENSMUSG00000048920	Fkrp	NaN	NaN		+	+
ENSMUSG00000028414	Fktn	1.441167	1.51184	+	+	+
ENSMUSG00000042642	Flad1	NaN	NaN		+	+
ENSMUSG00000032633	Flcn	NaN	NaN		+	+
ENSMUSG00000016087	Fli1	NaN	NaN		+	+
ENSMUSG00000002812	Flii	NaN	NaN		+	+
ENSMUSG00000031328	Flna	NaN	NaN		+	+
ENSMUSG00000025278	Flnb	NaN	NaN		+	+
ENSMUSG00000068699	Flnc	2.082745	1.456072	+	+	+
ENSMUSG00000059714	Flot1	NaN	NaN		+	+
ENSMUSG00000061981	Flot2	NaN	NaN		+	+
ENSMUSG00000047787	Flrt1	NaN	NaN		+	+
ENSMUSG00000047414	Flrt2	NaN	NaN		+	+
ENSMUSG00000051379	Flrt3	NaN	NaN		+	+
ENSMUSG00000029648	Flt1	NaN	NaN		+	+
ENSMUSG00000042817	Flt3	NaN	NaN		+	+
ENSMUSG00000040097	Flywch1	NaN	NaN		+	+
ENSMUSG00000055805	Fmnl1	NaN	NaN		+	+
ENSMUSG00000040181	Fmo1	NaN	NaN		+	+
ENSMUSG00000028088	Fmo5	2.247228	2.336245	+	+	+
ENSMUSG00000041559	Fmod	NaN	NaN		+	+
ENSMUSG00000000838	Fmr1	NaN	NaN		+	+
ENSMUSG00000026193	Fn1	NaN	NaN		+	+
ENSMUSG00000025175	Fn3k	NaN	NaN		+	+
ENSMUSG00000039253	Fn3krp	NaN	NaN		+	+
ENSMUSG00000075415	Fnbp1	NaN	NaN		+	+
ENSMUSG00000039735	Fnbp1l	NaN	NaN		+	+
ENSMUSG00000008200	Fnbp4	NaN	NaN		+	+
ENSMUSG00000071984	Fndc1	NaN	NaN		+	+
ENSMUSG00000033487	Fndc3a	NaN	NaN		+	+
ENSMUSG00000039286	Fndc3b	NaN	NaN		+	+
ENSMUSG00000001334	Fndc5	1.635239	1.422046	+	+	+
ENSMUSG00000061175	Fnip2	NaN	NaN		+	+
ENSMUSG00000015994	Fnta	NaN	NaN		+	+
ENSMUSG00000033373	Fntb	NaN	NaN		+	+
ENSMUSG00000001773	Folh1	2.110634	2.144553	+	+	+
ENSMUSG00000022677	Fopnl	NaN	NaN		+	+
ENSMUSG00000021250	Fos	NaN	NaN		+	+
ENSMUSG00000029135	Fosl2	NaN	NaN		+	+
ENSMUSG00000050295	Foxc1	NaN	NaN		+	+
ENSMUSG00000046714	Foxc2	NaN	NaN		+	
ENSMUSG00000020950	Foxg1	NaN	NaN		+	+
ENSMUSG00000003154	Foxj2	NaN	NaN		+	+
ENSMUSG00000032998	Foxj3	NaN	NaN		+	+
ENSMUSG00000056493	Foxk1	NaN	NaN		+	+
ENSMUSG00000039275	Foxk2	NaN	NaN		+	+
ENSMUSG00000001517	Foxm1	NaN	NaN		+	+
ENSMUSG00000033713	Foxn3	1.560998	2.35102	+	+	+
ENSMUSG00000044167	Foxo1	1.365269	1.591886	+	+	+
ENSMUSG00000048756	Foxo3	1.263104	1.509917	+	+	+
ENSMUSG00000042903	Foxo4	2.720844	2.868605	+	+	+
ENSMUSG00000052135	Foxo6	NaN	NaN		+	+
ENSMUSG00000030067	Foxp1	NaN	NaN		+	+
ENSMUSG00000023991	Foxp4	NaN	NaN		+	+
ENSMUSG00000039048	Foxred1	NaN	NaN		+	+
ENSMUSG00000016552	Foxred2	NaN	NaN		+	+
ENSMUSG00000053870	Fpgt	NaN	NaN		+	+
ENSMUSG00000054237	Fra10ac1	NaN	NaN		+	+
ENSMUSG00000034687	Fras1	NaN	NaN		+	+
ENSMUSG00000059049	Frem1	NaN	NaN		+	+
ENSMUSG00000037016	Frem2	NaN	NaN		+	+
ENSMUSG00000042353	Frem3	2.31837	2.653812	+	+	+
ENSMUSG00000031590	Frg1	NaN	NaN		+	+
ENSMUSG00000049122	Frmd3	NaN	NaN		+	+
ENSMUSG00000026657	Frmd4a	NaN	NaN		+	+
ENSMUSG00000030064	Frmd4b	NaN	NaN		+	+
ENSMUSG00000027238	Frmd5	NaN	NaN		+	+
ENSMUSG00000048285	Frmd6	NaN	NaN		+	+
ENSMUSG00000024816	Frmd8	NaN	NaN		+	+
ENSMUSG00000035615	Frmpd1	2.127401	1.985289	+	+	+
ENSMUSG00000049176	Frmpd4	NaN	NaN		+	+
ENSMUSG00000033386	Frrs1	NaN	NaN		+	+
ENSMUSG00000020170	Frs2	1.306476	1.552831	+	+	+
ENSMUSG00000023266	Frs3	NaN	NaN		+	+
ENSMUSG00000056602	Fry	1.602555	2.0824	+	+	+
ENSMUSG00000027004	Frzb	1.81522	1.652744	+	+	+
ENSMUSG00000011589	Fsd1	NaN	NaN		+	+
ENSMUSG00000022816	Fstl1	NaN	NaN		+	+
ENSMUSG00000036264	Fstl4	NaN	NaN		+	+
ENSMUSG00000034098	Fstl5	1.923829	1.886549	+	+	+
ENSMUSG00000024661	Fth1	2.603015	2.530192	+	+	+
ENSMUSG00000055932	Fto	NaN	NaN		+	+
ENSMUSG00000031171	Ftsj1	NaN	NaN		+	+
ENSMUSG00000029557	Ftsj2	NaN	NaN		+	+
ENSMUSG00000020706	Ftsj3	NaN	NaN		+	+
ENSMUSG00000028034	Fubp1	NaN	NaN		+	+
ENSMUSG00000026843	Fubp3	NaN	NaN		+	+
ENSMUSG00000028673	Fuca1	2.022621	1.732143	+	+	+
ENSMUSG00000019810	Fuca2	1.936083	1.640943	+	+	+
ENSMUSG00000033703	Fuk	NaN	NaN		+	+
ENSMUSG00000025040	Fundc1	NaN	NaN		+	+
ENSMUSG00000031198	Fundc2	NaN	NaN		+	+
ENSMUSG00000030530	Furin	NaN	NaN		+	+
ENSMUSG00000030795	Fus	NaN	NaN		+	+
ENSMUSG00000039357	Fut11	NaN	NaN		+	+
ENSMUSG00000049307	Fut4	1.486047	2.256306	+	+	
ENSMUSG00000021065	Fut8	1.734914	1.733448	+	+	+
ENSMUSG00000055373	Fut9	1.454086	1.83363	+	+	+
ENSMUSG00000011658	Fuz	NaN	NaN		+	+
ENSMUSG00000070583	Fv1	NaN	NaN		+	
ENSMUSG00000059363	Fxn	NaN	NaN		+	+
ENSMUSG00000027680	Fxr1	NaN	NaN		+	+
ENSMUSG00000018765	Fxr2	NaN	NaN		+	+
ENSMUSG00000036570	Fxyd1	2.563924	1.999569	+	+	+
ENSMUSG00000059412	Fxyd2	NaN	NaN		+	+
ENSMUSG00000009687	Fxyd5	NaN	NaN		+	+
ENSMUSG00000066705	Fxyd6	NaN	NaN		+	+
ENSMUSG00000036578	Fxyd7	NaN	NaN		+	+
ENSMUSG00000022148	Fyb	1.697805	6.726614	+	+	+
ENSMUSG00000025241	Fyco1	NaN	NaN		+	+
ENSMUSG00000019843	Fyn	NaN	NaN		+	+
ENSMUSG00000022800	Fyttd1	NaN	NaN		+	+
ENSMUSG00000044674	Fzd1	NaN	NaN		+	+
ENSMUSG00000050288	Fzd2	1.609601	1.682809	+	+	+
ENSMUSG00000007989	Fzd3	1.399864	2.177685	+	+	+
ENSMUSG00000049791	Fzd4	1.632673	1.638547	+	+	+
ENSMUSG00000022297	Fzd6	NaN	NaN		+	+
ENSMUSG00000036904	Fzd8	1.682789	1.430342	+	+	+
ENSMUSG00000049551	Fzd9	1.825605	1.608414	+	+	+
ENSMUSG00000009633	G0s2	NaN	NaN		+	+
ENSMUSG00000035293	G2e3	NaN	NaN		+	+
ENSMUSG00000018583	G3bp1	NaN	NaN		+	+
ENSMUSG00000029405	G3bp2	NaN	NaN		+	+
ENSMUSG00000034793	G6pc3	1.573794	1.268591	+	+	+
ENSMUSG00000025579	Gaa	2.099088	1.876346	+	+	+
ENSMUSG00000031714	Gab1	1.260388	1.73031	+	+	+
ENSMUSG00000004508	Gab2	2.036822	2.832849	+	+	+
ENSMUSG00000018567	Gabarap	NaN	NaN		+	+
ENSMUSG00000030161	Gabarapl1	NaN	NaN		+	+
ENSMUSG00000031950	Gabarapl2	NaN	NaN		+	+
ENSMUSG00000024462	Gabbr1	1.773527	1.677743	+	+	+
ENSMUSG00000039809	Gabbr2	1.72704	1.657048	+	+	+
ENSMUSG00000008976	Gabpa	NaN	NaN		+	+
ENSMUSG00000027361	Gabpb1	NaN	NaN		+	+
ENSMUSG00000010803	Gabra1	1.657896	1.66694	+	+	+
ENSMUSG00000000560	Gabra2	1.529578	1.340421	+	+	+
ENSMUSG00000031343	Gabra3	NaN	NaN		+	+
ENSMUSG00000029211	Gabra4	NaN	NaN		+	+
ENSMUSG00000055078	Gabra5	NaN	NaN		+	+
ENSMUSG00000029212	Gabrb1	1.865704	2.219016	+	+	+
ENSMUSG00000007653	Gabrb2	1.235966	1.845065	+	+	+
ENSMUSG00000033676	Gabrb3	NaN	NaN		+	+
ENSMUSG00000029054	Gabrd	NaN	NaN		+	+
ENSMUSG00000001260	Gabrg1	2.670075	2.432366	+	+	+
ENSMUSG00000020436	Gabrg2	1.533012	1.447816	+	+	+
ENSMUSG00000055026	Gabrg3	NaN	NaN		+	+
ENSMUSG00000023267	Gabrr2	NaN	NaN		+	+
ENSMUSG00000070880	Gad1	1.424436	1.637512	+	+	+
ENSMUSG00000026787	Gad2	1.294211	1.616044	+	+	+
ENSMUSG00000036390	Gadd45a	NaN	NaN		+	+
ENSMUSG00000021453	Gadd45g	NaN	NaN		+	+
ENSMUSG00000033751	Gadd45gip1	NaN	NaN		+	+
ENSMUSG00000062234	Gak	NaN	NaN		+	+
ENSMUSG00000024907	Gal	1.629708	1.443314	+	+	+
ENSMUSG00000047658	Gal3st3	NaN	NaN		+	+
ENSMUSG00000075593	Gal3st4	1.37547	1.553454	+	+	+
ENSMUSG00000021003	Galc	NaN	NaN		+	+
ENSMUSG00000020766	Galk1	NaN	NaN		+	+
ENSMUSG00000027207	Galk2	NaN	NaN		+	+
ENSMUSG00000035473	Galm	1.440098	1.720589	+	+	+
ENSMUSG00000015027	Galns	NaN	NaN		+	+
ENSMUSG00000000420	Galnt1	2.386195	2.218193	+	+	+
ENSMUSG00000038072	Galnt11	NaN	NaN		+	+
ENSMUSG00000060988	Galnt13	NaN	NaN		+	+
ENSMUSG00000024064	Galnt14	NaN	NaN		+	+
ENSMUSG00000089704	Galnt2	0	4.524517	+	+	
ENSMUSG00000026994	Galnt3	NaN	NaN		+	+
ENSMUSG00000090035	Galnt4	1.870638	1.495139	+	+	+
ENSMUSG00000031608	Galnt7	NaN	NaN		+	+
ENSMUSG00000033316	Galnt9	NaN	NaN		+	+
ENSMUSG00000096914	Galntl6	1.0802215	1.8295415	+	+	+
ENSMUSG00000061864	Galntl6	1.0802215	1.8295415	+	+	+
ENSMUSG00000024553	Galr1	NaN	NaN		+	
ENSMUSG00000036073	Galt	NaN	NaN		+	+
ENSMUSG00000020150	Gamt	NaN	NaN		+	+
ENSMUSG00000052557	Gan	NaN	NaN		+	+
ENSMUSG00000071650	Ganab	NaN	NaN		+	+
ENSMUSG00000062646	Ganc	NaN	NaN		+	+
ENSMUSG00000047261	Gap43	NaN	NaN		+	+
ENSMUSG00000057666	Gapdh	NaN	NaN		+	+
ENSMUSG00000026867	Gapvd1	NaN	NaN		+	+
ENSMUSG00000028010	Gar1	NaN	NaN		+	+
ENSMUSG00000029777	Gars	NaN	NaN		+	+
ENSMUSG00000022962	Gart	1.378781	1.544596	+	+	+
ENSMUSG00000030498	Gas2	NaN	NaN		+	+
ENSMUSG00000034201	Gas2l1	NaN	NaN		+	+
ENSMUSG00000074802	Gas2l3	NaN	NaN		+	+
ENSMUSG00000031451	Gas6	NaN	NaN		+	+
ENSMUSG00000033066	Gas7	NaN	NaN		+	+
ENSMUSG00000040220	Gas8	NaN	NaN		+	+
ENSMUSG00000015053	Gata2	NaN	NaN		+	
ENSMUSG00000007415	Gatad1	NaN	NaN		+	+
ENSMUSG00000036180	Gatad2a	NaN	NaN		+	+
ENSMUSG00000042390	Gatad2b	NaN	NaN		+	+
ENSMUSG00000029536	Gatc	NaN	NaN		+	+
ENSMUSG00000027199	Gatm	NaN	NaN		+	+
ENSMUSG00000015944	Gatsl2	NaN	NaN		+	+
ENSMUSG00000020424	Gatsl3	NaN	NaN		+	+
ENSMUSG00000028048	Gba	NaN	NaN		+	+
ENSMUSG00000028467	Gba2	NaN	NaN		+	+
ENSMUSG00000029432	Gbas	NaN	NaN		+	+
ENSMUSG00000022707	Gbe1	1.561182	1.631664	+	+	+
ENSMUSG00000025224	Gbf1	NaN	NaN		+	+
ENSMUSG00000028270	Gbp2	NaN	NaN		+	
ENSMUSG00000105504	Gbp5	NaN	NaN		+	
ENSMUSG00000026893	Gca	NaN	NaN		+	+
ENSMUSG00000006378	Gcat	1.579021	1.21789	+	+	+
ENSMUSG00000038039	Gcc2	1.239756	1.690779	+	+	+
ENSMUSG00000003809	Gcdh	NaN	NaN		+	+
ENSMUSG00000035125	Gcfc2	NaN	NaN		+	+
ENSMUSG00000037580	Gch1	NaN	NaN		+	
ENSMUSG00000032350	Gclc	NaN	NaN		+	+
ENSMUSG00000028124	Gclm	1.389892	1.586173	+	+	+
ENSMUSG00000041638	Gcn1l1	NaN	NaN		+	+
ENSMUSG00000038843	Gcnt1	NaN	NaN		+	+
ENSMUSG00000021360	Gcnt2	NaN	NaN		+	+
ENSMUSG00000092137	Gcom1	NaN	NaN		+	
ENSMUSG00000034424	Gcsh	2.002782	1.70271	+	+	+
ENSMUSG00000058624	Gda	NaN	NaN		+	+
ENSMUSG00000025777	Gdap1	NaN	NaN		+	+
ENSMUSG00000017943	Gdap1l1	NaN	NaN		+	+
ENSMUSG00000027865	Gdap2	NaN	NaN		+	+
ENSMUSG00000033917	Gde1	1.632468	1.437453	+	+	+
ENSMUSG00000055694	Gdf1	NaN	NaN		+	
ENSMUSG00000021943	Gdf10	1.922957	1.556754	+	+	+
ENSMUSG00000025352	Gdf11	2.48399	2.254401	+	+	+
ENSMUSG00000015291	Gdi1	NaN	NaN		+	+
ENSMUSG00000021218	Gdi2	NaN	NaN		+	+
ENSMUSG00000061666	Gdpd1	NaN	NaN		+	+
ENSMUSG00000019359	Gdpd2	NaN	NaN		+	+
ENSMUSG00000035314	Gdpd5	NaN	NaN		+	+
ENSMUSG00000028214	Gem	1.406808	1.56315	+	+	
ENSMUSG00000060121	Gemin2	NaN	NaN		+	+
ENSMUSG00000049396	Gemin4	0.745891	17.15899	+	+	
ENSMUSG00000037275	Gemin5	NaN	NaN		+	+
ENSMUSG00000055760	Gemin6	NaN	NaN		+	+
ENSMUSG00000040621	Gemin8	NaN	NaN		+	+
ENSMUSG00000051235	Gen1	NaN	NaN		+	+
ENSMUSG00000025858	Get4	NaN	NaN		+	+
ENSMUSG00000020932	Gfap	2.741822	2.543759	+	+	+
ENSMUSG00000040888	Gfer	NaN	NaN		+	+
ENSMUSG00000027774	Gfm1	1.733783	1.78882	+	+	+
ENSMUSG00000021666	Gfm2	NaN	NaN		+	+
ENSMUSG00000051335	Gfod1	NaN	NaN		+	+
ENSMUSG00000013150	Gfod2	NaN	NaN		+	+
ENSMUSG00000029992	Gfpt1	1.735556	2.076256	+	+	+
ENSMUSG00000020363	Gfpt2	NaN	NaN		+	+
ENSMUSG00000025089	Gfra1	2.448736	2.595338	+	+	+
ENSMUSG00000022103	Gfra2	NaN	NaN		+	+
ENSMUSG00000033128	Gga1	NaN	NaN		+	+
ENSMUSG00000030872	Gga2	NaN	NaN		+	+
ENSMUSG00000020740	Gga3	NaN	NaN		+	+
ENSMUSG00000002797	Ggct	NaN	NaN		+	+
ENSMUSG00000053460	Ggcx	NaN	NaN		+	+
ENSMUSG00000073987	Ggh	1.880972	1.696576	+	+	+
ENSMUSG00000020530	Ggnbp2	NaN	NaN		+	+
ENSMUSG00000021302	Ggps1	NaN	NaN		+	+
ENSMUSG00000006344	Ggt5	NaN	NaN		+	
ENSMUSG00000027603	Ggt7	NaN	NaN		+	+
ENSMUSG00000017747	Ghdc	1.610106	1.36778	+	+	+
ENSMUSG00000041028	Ghitm	NaN	NaN		+	+
ENSMUSG00000055737	Ghr	NaN	NaN		+	+
ENSMUSG00000051136	Ghsr	1.930576	2.498645	+	+	
ENSMUSG00000029714	Gigyf1	NaN	NaN		+	+
ENSMUSG00000047867	Gimap6	NaN	NaN		+	
ENSMUSG00000026333	Gin1	NaN	NaN		+	+
ENSMUSG00000027454	Gins1	NaN	NaN		+	
ENSMUSG00000031821	Gins2	2.158695	1.493049	+	+	
ENSMUSG00000031546	Gins4	NaN	NaN		+	+
ENSMUSG00000019433	Gipc1	NaN	NaN		+	+
ENSMUSG00000030406	Gipr	NaN	NaN		+	
ENSMUSG00000011877	Git1	1.782038	1.470727	+	+	+
ENSMUSG00000041890	Git2	NaN	NaN		+	+
ENSMUSG00000050953	Gja1	2.211443	1.989076	+	+	+
ENSMUSG00000050234	Gja4	NaN	NaN		+	+
ENSMUSG00000047797	Gjb1	NaN	NaN		+	+
ENSMUSG00000046352	Gjb2	NaN	NaN		+	+
ENSMUSG00000040055	Gjb6	2.547782	2.171534	+	+	+
ENSMUSG00000043448	Gjc2	NaN	NaN		+	+
ENSMUSG00000056966	Gjc3	NaN	NaN		+	+
ENSMUSG00000021552	Gkap1	NaN	NaN		+	+
ENSMUSG00000031266	Gla	NaN	NaN		+	+
ENSMUSG00000045594	Glb1	1.545421	1.546099	+	+	+
ENSMUSG00000026200	Glb1l	NaN	NaN		+	+
ENSMUSG00000036395	Glb1l2	NaN	NaN		+	+
ENSMUSG00000029638	Glcci1	NaN	NaN		+	+
ENSMUSG00000032252	Glce	NaN	NaN		+	+
ENSMUSG00000024827	Gldc	3.411323	2.972339	+	+	+
ENSMUSG00000046167	Gldn	NaN	NaN		+	+
ENSMUSG00000019715	Gle1	NaN	NaN		+	+
ENSMUSG00000003316	Glg1	1.635974	2.041374	+	+	+
ENSMUSG00000048402	Gli2	1.919718	1.544309	+	+	+
ENSMUSG00000021318	Gli3	2.382898	2.156059	+	+	+
ENSMUSG00000056888	Glipr1	1.569733	1.032328	+	+	
ENSMUSG00000014303	Glis2	NaN	NaN		+	+
ENSMUSG00000029276	Glmn	NaN	NaN		+	+
ENSMUSG00000024026	Glo1	1.705843	1.671358	+	+	+
ENSMUSG00000017286	Glod4	NaN	NaN		+	+
ENSMUSG00000018589	Glra2	1.597211	1.429322	+	+	+
ENSMUSG00000028020	Glrb	1.575595	1.468419	+	+	+
ENSMUSG00000018196	Glrx2	NaN	NaN		+	+
ENSMUSG00000031068	Glrx3	NaN	NaN		+	+
ENSMUSG00000021102	Glrx5	NaN	NaN		+	+
ENSMUSG00000026103	Gls	NaN	NaN		+	+
ENSMUSG00000044005	Gls2	NaN	NaN		+	+
ENSMUSG00000049971	Glt1d1	NaN	NaN		+	+
ENSMUSG00000021916	Glt8d1	NaN	NaN		+	+
ENSMUSG00000011884	Gltp	NaN	NaN		+	+
